# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
producer_consumer,mars,arena,2,9,400000,85787694,4662673.4,2331336.7,235.7,144.7,618.1,5315.8,163635.8,7.46,0,1070384,1081936,354,20269809
producer_consumer,mars,arena,2,10,400000,82335572,4858167.5,2429083.8,225.0,141.1,609.6,5133.8,217035.6,7.46,0,1424250,1433344,278,20270809
producer_consumer,mars,arena,2,11,400000,83845301,4770690.7,2385345.4,197.3,119.1,572.6,5042.8,212581.5,7.46,0,1041981,1042048,2,20271809
producer_consumer,mars,arena,4,1,800000,100144791,7988433.5,1997108.4,228.6,136.1,731.9,5998.3,245445.7,7.46,0,2087304,2087424,4,20261809
producer_consumer,mars,arena,4,2,800000,90882513,8802573.5,2200643.4,221.8,135.4,731.9,6134.8,651833.5,7.46,0,2120952,2179136,1782,20262809
producer_consumer,mars,arena,4,3,800000,93922085,8517698.5,2129424.6,223.9,136.1,712.0,6089.3,393527.8,7.46,0,2063802,2063936,4,20263809
producer_consumer,mars,arena,4,4,800000,92694800,8630473.3,2157618.3,220.0,136.1,794.4,5998.3,527425.3,7.46,0,2359913,2360048,4,20264809
producer_consumer,mars,arena,4,5,800000,97119612,8237265.2,2059316.3,228.9,134.7,839.9,6043.8,159296.4,7.46,0,2090786,2090912,4,20265809
producer_consumer,mars,arena,4,6,800000,101306707,7896811.8,1974203.0,243.5,140.4,783.1,6635.3,550240.8,7.46,0,2087330,2087456,4,20266809
producer_consumer,mars,arena,4,7,800000,102412051,7811580.7,1952895.2,248.8,139.7,896.8,6771.8,430942.2,7.46,0,2091211,2091344,4,20267809
producer_consumer,mars,arena,4,8,800000,94315477,8482171.0,2120542.7,231.0,136.8,902.5,5770.8,579576.1,7.46,0,2076960,2096384,599,20268809
producer_consumer,mars,arena,4,9,800000,99940111,8004794.0,2001198.5,244.6,141.1,879.7,6134.8,613317.9,7.46,0,2095901,2096032,4,20269809
producer_consumer,mars,arena,4,10,800000,92491097,8649481.1,2162370.3,228.9,134.7,862.7,5770.8,195843.8,7.46,0,2091567,2091696,4,20270809
producer_consumer,mars,arena,4,11,800000,89976429,8891217.5,2222804.4,220.0,135.4,731.9,5816.3,207670.5,7.46,0,2861262,2861376,4,20271809
producer_consumer,mars,arena,8,1,1600000,147056780,10880151.2,1360018.9,327.4,178.8,1107.2,8364.2,1347655.8,7.46,0,11202892,11524288,9878,20261809
producer_consumer,mars,arena,8,2,1600000,252368460,6339936.5,792492.1,603.9,159.6,1596.3,10184.1,11409793.7,7.46,0,39266075,40301872,31912,20262809
producer_consumer,mars,arena,8,3,1600000,226035237,7078542.4,884817.8,571.2,162.4,1539.5,12459.0,12311262.6,7.46,0,32010796,33074736,32775,20263809
producer_consumer,mars,arena,8,4,1600000,193160995,8283245.8,1035405.7,502.6,163.9,1471.2,10320.6,9599050.5,7.46,0,37201383,38177312,30039,20264809
producer_consumer,mars,arena,8,5,1600000,164744630,9712000.9,1214000.1,397.4,156.8,1192.5,8273.2,5397382.0,7.46,0,23705387,24489072,24129,20265809
producer_consumer,mars,arena,8,6,1600000,158839398,10073067.6,1259133.5,380.0,166.0,1186.9,8227.7,5173096.5,7.46,0,27114025,27900464,24209,20266809
producer_consumer,mars,arena,8,7,1600000,165575587,9663260.3,1207907.5,431.2,161.7,1374.5,8910.2,5088979.3,7.46,0,31382820,32310832,28585,20267809
producer_consumer,mars,arena,8,8,1600000,176590031,9060534.1,1132566.8,412.3,161.7,1232.4,8409.7,7078626.1,7.46,0,25144072,25950992,24879,20268809
producer_consumer,mars,arena,8,9,1600000,181097371,8835026.1,1104378.3,454.3,157.5,1221.0,8318.7,11410569.3,7.46,0,29253354,30188128,28822,20269809
producer_consumer,mars,arena,8,10,1600000,162222706,9862984.3,1232873.0,396.7,156.8,1215.3,7954.7,11484244.6,7.46,0,36831812,37897168,32775,20270809
producer_consumer,mars,arena,8,11,1600000,162604937,9839799.6,1229975.0,377.1,166.0,1209.6,8227.7,9402860.8,7.46,0,14333231,14734112,12351,20271809
producer_consumer,system,arena,1,1,200000,9998214,20003572.6,20003572.6,21.3,10.3,190.2,1294.9,39051.6,7.46,0,0,0,0,20261809
producer_consumer,system,arena,1,2,200000,9988727,20022571.4,20022571.4,22.4,10.0,203.0,1238.0,44132.5,7.46,0,0,0,0,20262809
producer_consumer,system,arena,1,3,200000,9017353,22179457.8,22179457.8,20.3,9.2,183.1,1192.5,71700.8,7.46,0,0,0,0,20263809
producer_consumer,system,arena,1,4,200000,10034309,19931616.6,19931616.6,21.3,10.3,193.0,1351.8,13966.5,7.46,0,0,0,0,20264809
producer_consumer,system,arena,1,5,200000,8969084,22298821.2,22298821.2,19.9,9.2,181.6,1192.5,29153.3,7.46,0,0,0,0,20265809
producer_consumer,system,arena,1,6,200000,7873861,25400499.2,25400499.2,16.7,7.1,159.6,1044.7,28834.8,7.46,0,0,0,0,20266809
producer_consumer,system,arena,1,7,200000,10619969,18832446.7,18832446.7,23.5,10.0,215.8,1448.5,26777.4,7.46,0,0,0,0,20267809
producer_consumer,system,arena,1,8,200000,8327291,24017414.5,24017414.5,18.5,7.1,159.6,1061.7,115019.6,7.46,0,0,0,0,20268809
producer_consumer,system,arena,1,9,200000,8977639,22277572.1,22277572.1,18.5,8.2,174.5,1226.7,41234.8,7.46,0,0,0,0,20269809
producer_consumer,system,arena,1,10,200000,9046826,22107200.9,22107200.9,20.3,7.5,181.6,1209.6,36973.6,7.46,0,0,0,0,20270809
producer_consumer,system,arena,1,11,200000,7747778,25813852.7,25813852.7,16.4,7.1,156.0,1135.7,36103.5,7.46,0,0,0,0,20271809
producer_consumer,system,arena,2,1,400000,62661185,6383537.1,3191768.6,233.2,65.8,3336.6,20375.7,136616.3,7.46,0,0,0,0,20261809
